Brand,Model,Fuel type,Transmission,First Registration Year,Milleage (kms),Engine Power (PS),Price (EUR)
Ford,EcoSport,Benzin,Schaltgetriebe,11/2014,93154,125.0,9370.0
Volkswagen,Tiguan,Diesel,Automatik,12/2010,135000,140.0,9400.0
Renault,Captur,Benzin,Schaltgetriebe,10/2015,80000,90.0,9400.0
Dacia,Duster,Benzin,Schaltgetriebe,-/- (Erstzulassung),100,101.0,9463.0
Mitsubishi,ASX,Benzin,Schaltgetriebe,02/2015,130800,117.0,9480.0
Kia,Sportage,Benzin,Schaltgetriebe,07/2011,109568,135.0,9490.0
Kia,Sportage,Benzin,Schaltgetriebe,01/2011,63000,135.0,9490.0
Volvo,XC90,Diesel,Schaltgetriebe,03/2008,188050,185.0,9490.0
Hyundai,iX35,Diesel,Schaltgetriebe,10/2013,121550,116.0,9650.0
Renault,Captur,Benzin,Schaltgetriebe,11/2015,49000,90.0,9700.0
Renault,Captur,Diesel,Schaltgetriebe,01/2014,86705,90.0,9740.0
Dacia,Duster,Benzin,Schaltgetriebe,-/- (Erstzulassung),1,101.0,9740.0
Opel,Mokka,Diesel,Schaltgetriebe,03/2013,87700,131.0,9760.0
Ford,EcoSport,Benzin,Schaltgetriebe,02/2016,78000,125.0,9850.0
Volkswagen,Tiguan,Diesel,Schaltgetriebe,02/2012,145744,110.0,9890.0
Peugeot,2008,Benzin,Schaltgetriebe,07/2014,50000,120.0,9890.0
Nissan,Qashqai,Benzin,Schaltgetriebe,03/2011,23400,117.0,9900.0
Nissan,Juke,Benzin,Schaltgetriebe,06/2013,63028,117.0,9940.0
Nissan,Qashqai,Benzin,Automatik,03/2012,81200,141.0,9950.0
Skoda,Yeti,Benzin,Schaltgetriebe,05/2013,72985,122.0,9970.0
Kia,Sportage,Diesel,Schaltgetriebe,04/2011,124000,116.0,9979.0
Mitsubishi,ASX,Diesel,Schaltgetriebe,10/2012,84155,150.0,9980.0
Peugeot,2008,Diesel,Schaltgetriebe,09/2015,118940,120.0,9980.0
Citroen,C4 Cactus,Benzin,Schaltgetriebe,09/2015,56811,110.0,9980.0
BMW,X3,Benzin,Automatik,08/2006,116500,192.0,9990.0
Renault,Captur,Diesel,Schaltgetriebe,08/2015,105528,110.0,9990.0
Nissan,Qashqai,Benzin,Automatik,01/2009,37200,141.0,9990.0
Dacia,Duster,Benzin,Schaltgetriebe,04/2014,50116,105.0,9990.0
BMW,X3,Benzin,Schaltgetriebe,07/2008,101000,150.0,9990.0
Dacia,Duster,Benzin,Schaltgetriebe,02/2016,82668,125.0,9990.0
Dacia,Sandero,Diesel,Automatik,08/2017,77496,90.0,9990.0
Nissan,Qashqai,Diesel,Schaltgetriebe,09/2012,88550,131.0,9990.0
Skoda,Yeti,Benzin,Schaltgetriebe,11/2012,74499,105.0,9990.0
BMW,X1,Diesel,Schaltgetriebe,01/2013,144900,163.0,9990.0
Renault,Captur,Diesel,Schaltgetriebe,03/2014,63289,90.0,9990.0
Skoda,Yeti,Benzin,Schaltgetriebe,07/2012,51662,122.0,9990.0
Mercedes-Benz,ML 350,Benzin,Automatik,02/2006,188162,272.0,9990.0
Nissan,Qashqai,Benzin,Schaltgetriebe,06/2016,170000,116.0,9999.0
Fiat,Freemont,Diesel,Schaltgetriebe,02/2012,143808,170.0,9999.0
Ford,EcoSport,Benzin,Schaltgetriebe,03/2015,46918,125.0,10200.0
Opel,Mokka,Benzin,Schaltgetriebe,06/2016,73118,140.0,10289.0
MINI,Cooper Countryman,Benzin,Schaltgetriebe,06/2012,91696,122.0,10400.0
Volkswagen,Touareg,Diesel,Automatik,01/2007,218165,224.0,10429.0
Fiat,500X,Benzin,Schaltgetriebe,06/2015,102086,140.0,10480.0
Hyundai,iX35,Benzin,Schaltgetriebe,01/2014,65405,135.0,10489.0
Opel,Mokka,Benzin,Schaltgetriebe,06/2014,106000,140.0,10490.0
Kia,Sportage,Benzin,Schaltgetriebe,12/2012,79978,135.0,10490.0
Opel,Mokka,Benzin,Schaltgetriebe,08/2016,59000,116.0,10490.0
Opel,Mokka,Diesel,Schaltgetriebe,06/2014,99107,131.0,10490.0
Peugeot,2008,Benzin,Schaltgetriebe,04/2016,30150,82.0,10490.0
Land Rover,Freelander,Diesel,Schaltgetriebe,05/2008,120084,152.0,10490.0
Renault,Captur,Benzin,Schaltgetriebe,06/2016,36059,90.0,10490.0
BMW,X1,Diesel,Schaltgetriebe,06/2012,127900,177.0,10490.0
Fiat,Freemont,Diesel,Schaltgetriebe,01/2012,87127,170.0,10490.0
Suzuki,SX4 S-Cross,Benzin,Schaltgetriebe,10/2014,27800,120.0,10497.0
BMW,X1,Benzin,Schaltgetriebe,09/2011,127440,150.0,10590.0
Kia,Sportage,Benzin,Schaltgetriebe,05/2013,53800,135.0,10680.0
Mercedes-Benz,GLK 200,Diesel,Schaltgetriebe,05/2011,191500,143.0,10680.0
Opel,Mokka,Benzin,Schaltgetriebe,09/2014,16300,116.0,10680.0
Chevrolet,Captiva,Diesel,Automatik,04/2012,120211,184.0,10689.0
Ford,EcoSport,Benzin,Schaltgetriebe,03/2016,57371,125.0,10690.0
Mitsubishi,ASX,Benzin,Schaltgetriebe,10/2015,71500,117.0,10780.0
Opel,Mokka,Benzin,Schaltgetriebe,06/2013,96530,140.0,10790.0
MINI,Cooper Countryman,Benzin,Schaltgetriebe,01/2014,71690,122.0,10790.0
Skoda,Yeti,Diesel,Schaltgetriebe,03/2017,134600,110.0,10790.0
Kia,Sportage,Benzin,Schaltgetriebe,08/2011,89281,163.0,10797.0
Renault,Koleos,Diesel,Schaltgetriebe,06/2015,109000,150.0,10850.0
Hyundai,iX35,Diesel,Schaltgetriebe,07/2015,62180,116.0,10860.0
Ford,Kuga,Diesel,Automatik,09/2012,125000,163.0,10870.0
Ford,EcoSport,Diesel,Schaltgetriebe,02/2017,59615,95.0,10870.0
Ford,Ranger,Diesel,Schaltgetriebe,08/2009,118610,143.0,10880.0
Opel,Mokka,Benzin,Schaltgetriebe,04/2013,67740,140.0,10897.0
Nissan,Juke,Benzin,Automatik,09/2014,46500,117.0,10900.0
Ford,EcoSport,Benzin,Schaltgetriebe,09/2015,43646,111.0,10900.0
Audi,Q5,Benzin,Schaltgetriebe,10/2009,177653,211.0,10950.0
Dacia,Duster,Diesel,Schaltgetriebe,06/2016,72000,109.0,10970.0
Ford,Kuga,Diesel,Automatik,06/2011,69513,140.0,10980.0
Mercedes-Benz,ML 320,Diesel,Automatik,01/2008,156911,224.0,10980.0
Nissan,Qashqai,Benzin,Schaltgetriebe,01/2016,116420,116.0,10980.0
Renault,Captur,Benzin,Schaltgetriebe,03/2016,46052,90.0,10980.0
Renault,Captur,Benzin,Schaltgetriebe,04/2016,44266,90.0,10980.0
Nissan,Qashqai,Diesel,Schaltgetriebe,11/2013,143000,131.0,10980.0
Skoda,Yeti,Benzin,Automatik,08/2015,71900,110.0,10980.0
Skoda,Yeti,Benzin,Schaltgetriebe,11/2015,101819,110.0,10980.0
Mazda,CX-5,Diesel,Schaltgetriebe,08/2012,148920,150.0,10985.0
Fiat,500X,Benzin,Schaltgetriebe,04/2016,83000,140.0,10989.0
Chevrolet,Trax,Benzin,Schaltgetriebe,10/2013,37850,140.0,10990.0
Kia,Sportage,Diesel,Schaltgetriebe,08/2015,128779,136.0,10990.0
Volkswagen,Tiguan,Diesel,Schaltgetriebe,02/2014,101463,110.0,10990.0
Mercedes-Benz,GLK 220,Diesel,Automatik,11/2010,219153,170.0,10990.0
Nissan,Juke,Benzin,Automatik,09/2014,90428,117.0,10990.0
Peugeot,2008,Benzin,Schaltgetriebe,05/2017,46097,82.0,10990.0
Ford,Kuga,Benzin,Schaltgetriebe,11/2013,132200,150.0,10990.0
Mitsubishi,ASX,Benzin,Schaltgetriebe,08/2015,54573,117.0,10990.0
Ford,Kuga,Diesel,Schaltgetriebe,08/2012,99000,140.0,10999.0
Skoda,Yeti,Diesel,Automatik,10/2014,79000,105.0,10999.0
Peugeot,2008,Benzin,Schaltgetriebe,05/2018,19286,82.0,11190.0
Renault,Captur,Benzin,Automatik,09/2014,55000,120.0,11230.0
Dacia,Sandero,Benzin,Schaltgetriebe,-/- (Erstzulassung),100,101.0,11344.0
Nissan,Qashqai,Benzin,Schaltgetriebe,10/2013,70500,117.0,11345.0
Opel,Mokka,Diesel,Schaltgetriebe,07/2016,77200,110.0,11350.0
Suzuki,Jimny,Benzin,Schaltgetriebe,12/2011,33500,86.0,11400.0
Volkswagen,Tiguan,Benzin,Schaltgetriebe,07/2012,81298,160.0,11435.0
BMW,X1,Benzin,Schaltgetriebe,10/2010,73649,150.0,11450.0
